0,0,0,1.514912,23,16,1.93,0.07,0:01.88
0,0,0,1.442462,18,9,1.84,0.13,0:01.81
0,0,0,1.444021,29,17,1.88,0.08,0:01.83
0,0,0,1.51628,24,13,1.91,0.11,0:01.88
0,0,0,1.446785,24,13,1.94,0.03,0:01.82
0,0,0,1.517157,28,17,1.91,0.09,0:01.89
0,0,0,1.49292,27,13,1.91,0.09,0:01.86
0,0,0,1.451964,22,14,1.86,0.09,0:01.82
0,0,0,1.574981,21,16,1.94,0.1,0:01.95
0,0,0,1.555107,17,10,2.01,0.07,0:01.92
0,0,0,1.51492,20,10,1.95,0.08,0:01.88
0,0,0,1.397224,28,14,1.83,0.07,0:01.77
0,0,0,1.471106,23,12,1.88,0.11,0:01.87
0,0,0,1.495506,26,15,1.94,0.07,0:01.86
0,0,0,1.579215,21,10,2.04,0.07,0:01.95
0,0,0,1.562725,22,15,1.99,0.06,0:01.94
0,0,0,1.466889,22,12,1.86,0.1,0:01.84
0,0,0,1.501268,25,14,1.94,0.07,0:01.87
0,0,0,1.555925,28,14,2.01,0.08,0:01.93
0,0,0,1.467059,22,13,1.86,0.11,0:01.83
0,0,0,1.484534,26,13,1.91,0.1,0:01.87
0,0,0,1.511551,35,22,1.92,0.07,0:01.88
0,0,0,1.483204,22,11,1.93,0.07,0:01.85
0,0,0,1.569627,24,13,2.03,0.08,0:01.94
0,0,0,1.483953,27,14,1.93,0.07,0:01.85
0,0,0,1.536151,22,12,1.99,0.07,0:01.91
0,0,0,1.46218,30,20,1.84,0.08,0:01.85
0,0,0,1.451062,29,19,1.84,0.09,0:01.82
0,0,0,1.571628,25,13,2.0,0.1,0:01.94
0,0,0,1.494077,27,17,1.89,0.09,0:01.86
0,0,0,1.590924,27,13,2.02,0.1,0:01.98
0,0,0,1.548371,29,18,1.93,0.09,0:01.92
0,0,0,1.483353,25,13,1.92,0.07,0:01.88
0,0,0,1.459709,20,11,1.88,0.08,0:01.83
