0,0,0,1.493728,33,13,6431,6976
5,2534,2287,1.506394,46,29,16440,18687
10,1263,1456,1.501085,44,23,9719,11358
100,115,167,1.60117,41,20,8301,9489
1000,11,19,1.552132,44,21,9944,11573
0,0,0,1.505541,33,17,7230,8763
5,2534,2433,1.49339,38,19,11801,13539
10,1263,1459,1.528764,37,22,9686,11744
100,115,166,1.469679,42,24,10386,11621
1000,11,13,1.439833,42,23,10110,12221
0,0,0,1.553952,40,16,7954,8686
5,2534,2469,1.455186,41,22,9303,11595
10,1263,1403,1.554427,50,27,12370,15072
100,115,139,1.488976,51,36,21586,25290
1000,11,18,1.605826,45,22,10777,13624
0,0,0,1.559988,54,32,13985,16317
5,2534,2401,1.498037,50,26,12556,14277
10,1263,1330,1.539021,56,30,15525,18017
100,115,164,1.512087,39,22,9177,10601
1000,11,20,1.570882,38,19,10540,12213
0,0,0,1.489928,47,24,11142,12391
5,2534,2489,1.448309,41,21,10071,11931
10,1263,1354,1.52524,58,29,15076,16964
100,115,157,1.474241,45,25,10768,12580
1000,11,17,1.542779,48,24,11393,12726
0,0,0,1.505582,34,16,7034,7972
5,2534,2525,1.537015,42,21,8955,9969
10,1263,1495,1.58244,41,18,8304,9235
100,115,171,1.493413,42,16,8659,9525
1000,11,17,1.432288,49,25,11757,13236
0,0,0,1.525683,44,25,10491,11858
5,2534,2258,1.558108,53,28,16553,19881
10,1263,1473,1.461808,37,22,9746,11323
100,115,166,1.589964,38,17,9115,11385
1000,11,16,1.465881,44,24,11964,13886
0,0,0,1.534987,37,16,8058,8854
5,2534,2483,1.503518,44,20,9939,11056
10,1263,1331,1.56303,57,29,16713,19235
100,115,163,1.44771,42,24,10588,11950
1000,11,16,1.463548,41,24,10046,11143
0,0,0,1.583638,35,14,6307,6965
5,2534,2437,1.528522,47,24,10858,12882
10,1263,1440,1.521489,43,20,10881,12681
100,115,141,1.458405,43,26,20605,23873
1000,11,18,1.508112,42,20,9953,11232
0,0,0,1.45093,40,23,10306,11167
5,2534,2531,1.43594,44,20,9251,10300
10,1263,1446,1.451523,43,23,10676,12446
100,115,161,1.475503,46,22,9399,11119
1000,11,18,1.487922,39,20,8354,9470
