0,0,0,1.485892,0,3,0,233
5,2534,2671,1.524185,5,11,1317,5850
10,1263,1651,1.494337,0,13,0,1070
100,115,185,1.54026,3,8,636,3098
1000,11,18,1.512603,6,15,4791,9674
0,0,0,1.500954,0,2,0,263
5,2534,2843,1.489874,0,4,0,440
10,1263,1659,1.519057,1,8,893,1901
100,115,194,1.539618,0,2,0,111
1000,11,20,1.599404,0,1,0,87
0,0,0,1.500325,0,7,0,462
5,2534,2794,1.423201,2,11,280,2412
10,1263,1673,1.465069,0,4,0,495
100,115,187,1.471363,1,10,137,1699
1000,11,20,1.487763,2,8,348,2601
0,0,0,1.493191,0,9,0,746
5,2534,2779,1.533439,2,9,76,3071
10,1263,1591,1.599893,5,9,555,4777
100,115,188,1.548596,2,8,824,3019
1000,11,20,1.511549,1,6,70,1256
0,0,0,1.590556,2,9,226,2128
5,2534,2668,1.518375,7,13,782,5847
10,1263,1609,1.4403,0,13,0,2857
100,115,193,1.491946,0,7,0,478
1000,11,20,1.504649,0,2,0,42
0,0,0,1.630805,0,4,0,500
5,2534,2830,1.457887,0,9,0,552
10,1263,1678,1.48331,0,4,0,403
100,115,184,1.539492,3,5,1749,3424
1000,11,19,1.554834,0,4,0,87
0,0,0,1.503323,0,7,0,913
5,2534,2784,1.475362,2,8,275,2382
10,1263,1682,1.568282,0,3,0,118
100,115,187,1.569988,6,11,822,4248
1000,11,20,1.485674,1,7,82,1372
0,0,0,1.493671,2,6,635,2242
5,2534,2828,1.540165,0,7,0,1174
10,1263,1656,1.460886,0,9,0,1154
100,115,183,1.468033,3,9,253,2945
1000,11,20,1.456605,0,11,0,1062
0,0,0,1.46348,0,7,0,564
5,2534,2861,1.51968,0,2,0,104
10,1263,1676,1.498133,0,5,0,253
100,115,192,1.450231,0,11,0,800
1000,11,20,1.480056,0,5,0,245
0,0,0,1.49014,0,5,0,504
5,2534,2846,1.576001,0,5,0,245
10,1263,1682,1.514191,0,4,0,206
100,115,188,1.479238,3,5,658,2267
1000,11,20,1.485857,0,10,0,702
